TodayDate,Stonk,NextExpDate,OpenPrice,LowPrice,ClosePrice,HighPrice,Volume,VolumeIncrease%,Call-MaxOpenInterest,Call-StrikePrice,Put-MaxOpenInterest,Put-StrikePrice,UpFromYesterday,UpToday,CloseSplitsStrikes
08/08/22,INTC,08-12-2022,35.36,35.2,35.38,35.96,41601566,-13.26%,6041,36.5,6596,36.0,-0.03%,0.06%,False
08/08/22,ISRG,08-12-2022,241,238.64,239.13,245.36,2216193,72.29%,675,300.0,1181,225.0,-0.50%,-0.78%,True
08/08/22,JD,08-12-2022,61.59,58.46,58.84,61.74,8208345,89.36%,1086,62.0,1316,62.0,-4.96%,-4.47%,False
08/08/22,LCID,08-12-2022,18.18,18.075,18.72,19.71,21703023,30.37%,3776,20.0,4448,16.0,3.71%,2.97%,True
08/08/22,LOW,08-12-2022,200,199.78,201.84,204.31,3042755,7.69%,515,190.0,2089,155.0,1.39%,0.92%,False
08/08/22,LSPD,08-19-2022,21.99,21.795,23.38,23.78,1876360,81.68%,2018,25.0,578,25.0,7.20%,6.32%,False
08/08/22,LULU,08-12-2022,317.04,315.13,316.24,326.5,844676,19.79%,271,340.0,217,225.0,-0.49%,-0.25%,True
08/08/22,MDLZ,08-12-2022,64.02,63.71,63.94,64.59,4928688,22.81%,1738,65.0,364,63.0,0.27%,-0.12%,True
08/08/22,MELI,08-12-2022,1042.08,1018,1024.25,1074.5,618763,-10.80%,385,1600.0,173,695.0,-0.05%,-1.71%,False
08/08/22,MP,08-19-2022,39.21,38.81,39.29,40.12,2651476,41.03%,3946,35.0,4558,30.0,2.10%,0.20%,False
08/08/22,MRK,08-12-2022,87.3,86.92,88.49,88.7798,8151171,6.00%,590,90.0,694,87.0,1.24%,1.36%,True
08/08/22,MRNA,08-12-2022,185.2,180.09,182.94,190.28,4078574,-14.54%,3202,200.0,681,180.0,-2.09%,-1.22%,True
08/08/22,MRO,08-12-2022,21.77,21.4025,21.83,22.09,17555346,67.17%,1923,25.0,1424,17.5,0.28%,0.28%,True
08/08/22,MRVL,08-12-2022,55.61,53.3,55.59,56.5,13962369,125.49%,2160,63.0,484,56.0,-2.37%,-0.04%,False
08/08/22,MSFT,08-12-2022,284.05,279.32,280.32,285.92,18757818,5.89%,6295,285.0,3403,250.0,-0.92%,-1.31%,True
08/08/22,MU,08-12-2022,61.99,60.98,61.45,62.62,11464767,27.40%,3713,70.0,3385,63.0,-1.62%,-0.87%,False
08/08/22,NFLX,08-12-2022,227.49,226.41,233.49,241.9599,10997409,107.38%,3287,250.0,2362,175.0,2.96%,2.64%,True
08/08/22,NTES,08-12-2022,88.98,88.53,89.46,90.57,1206733,-3.88%,192,85.0,812,80.0,0.54%,0.54%,False
08/08/22,NVDA,08-12-2022,175.02,172.42,177.93,182.39,98378318,224.23%,7347,200.0,4392,160.0,-6.30%,1.66%,True
08/08/22,OKTA,08-12-2022,105.67,105.03,107.22,110.94,1680971,31.35%,521,140.0,233,91.0,2.63%,1.47%,False
08/08/22,ORLY,08-19-2022,714.31,708.2,712.27,717.38,322696,-13.23%,439,790.0,801,630.0,0.46%,-0.29%,True
08/08/22,OXY,08-12-2022,58.34,58.34,60.04,60.6,18199195,1.43%,3951,61.0,11778,50.0,1.75%,2.91%,True
08/08/22,PDD,08-12-2022,49.2,47.23,47.67,49.95,7773931,15.23%,2315,57.0,2077,52.0,-5.13%,-3.11%,False
08/08/22,PTON,08-12-2022,11.93,11.66,11.91,12.67,14643120,77.04%,5945,13.0,5191,10.5,1.02%,-0.17%,True
08/08/22,PYPL,08-12-2022,96.35,95.32,96.26,98.94,19557490,23.57%,3033,100.0,2918,90.0,0.99%,-0.09%,False
08/08/22,QCOM,08-12-2022,149.81,146.55,147.81,151.19,5564307,-17.10%,1674,155.0,1464,145.0,-1.60%,-1.34%,True
08/08/22,RBLX,08-12-2022,48.13,48.02,48.9,50.9,21346300,75.70%,4136,60.0,2388,40.0,-0.69%,1.60%,True
08/08/22,REGN,08-19-2022,619.78,618.8707,630.63,633.93,715657,36.04%,660,760.0,1131,340.0,2.77%,1.75%,True
08/08/22,ROST,08-12-2022,85.02,84.61,85.31,87,1836193,33.96%,110,85.0,890,65.0,1.28%,0.34%,False
08/08/22,RRC,08-12-2022,30.45,29.88,30.1,31.01,2443295,4.33%,180,33.0,931,14.0,-2.08%,-1.15%,True
08/08/22,SBUX,08-12-2022,86.15,85.42,85.72,86.86,4885102,-5.63%,2667,88.0,687,84.0,-0.01%,-0.50%,True
08/08/22,SE,08-12-2022,88.08,84.8,85.54,89.63,5828353,70.24%,2058,78.0,4088,76.0,-2.32%,-2.88%,False
08/08/22,SGEN,08-19-2022,176.56,176.56,178.33,181,1059924,98.77%,2414,200.0,4100,150.0,1.43%,1.00%,True
08/08/22,SHOP,08-12-2022,41.41,39.27,39.77,42.45,29845891,27.91%,3876,45.0,2536,30.0,-2.55%,-3.96%,True
08/08/22,SIRI,08-12-2022,6.58,6.56,6.65,6.72,12699874,3.19%,43,6.5,546,6.0,1.06%,1.06%,False
08/08/22,SMH,08-12-2022,240.55,236.06,239.41,242.65,4215259,89.11%,1362,255.0,1497,220.0,-1.73%,-0.47%,True
08/08/22,SNAP,08-12-2022,10.25,10.17,10.41,10.8,49276029,7.92%,10578,11.0,7558,8.0,2.26%,1.56%,False
08/08/22,SNPS,08-19-2022,375,369.761,372.07,378.465,725186,15.52%,1006,360.0,302,280.0,-0.59%,-0.78%,False
08/08/22,SPLK,08-12-2022,113.5,112.3,113.08,115.98,773062,-6.35%,580,140.0,236,60.0,0.45%,-0.37%,False
08/08/22,SQ,08-12-2022,88.05,84.87,85.5,91.8,19001542,30.71%,1950,100.0,2615,48.0,-2.54%,-2.90%,False
08/08/22,SWKS,08-12-2022,112.18,110.75,112.13,113.38,2725599,63.98%,152,100.0,239,60.0,-0.47%,-0.04%,True
08/08/22,TDG,08-19-2022,642.99,639.39,641.18,647.71,241553,61.25%,208,630.0,1311,600.0,0.45%,-0.28%,False
08/08/22,TEAM,08-12-2022,265.41,264.97,279.35,289.12,5405414,177.36%,475,270.0,330,250.0,4.01%,5.25%,False
08/08/22,TGT,08-12-2022,166.66,166.43,166.97,170.99,2808348,8.87%,1548,175.0,1529,162.5,0.51%,0.19%,True
08/08/22,TJX,08-12-2022,63.4,63.37,63.68,64.27,4694243,48.98%,383,65.0,163,59.0,1.37%,0.44%,True
08/08/22,TSLA,08-12-2022,885,867.2562,871.27,915.6,33121758,56.12%,12853,1000.0,7354,800.0,0.78%,-1.55%,False
08/08/22,TSM,08-12-2022,88.98,86.91,87.94,89.1,12122334,23.73%,2723,90.0,3561,45.0,-2.04%,-1.17%,True
08/08/22,TSN,08-19-2022,82.31,78.68,80.1,83.08,9675017,863.30%,1411,87.5,2010,55.0,-8.40%,-2.68%,True
08/08/22,TWTR,08-12-2022,42.94,42.87,42.94,43.545,8130857,6.37%,12245,45.0,8673,39.0,0.99%,0.00%,True
08/08/22,U,08-12-2022,47.72,47.72,49.76,52.69,11163189,69.88%,8522,50.0,2871,34.0,3.54%,4.27%,True
08/08/22,URI,08-12-2022,324.19,320.01,322.14,329.23,409799,-36.19%,814,420.0,552,185.0,-0.40%,-0.63%,True
08/08/22,VRTX,08-12-2022,288.65,288.65,293.95,296.95,1687084,32.99%,296,305.0,119,250.0,2.06%,1.84%,True
08/08/22,WDAY,08-12-2022,161.63,161.35,166.8,169.22,3078443,83.16%,359,215.0,614,85.0,3.15%,3.20%,False
08/08/22,WMT,08-12-2022,126.65,126.61,127.61,128.2125,6061110,-29.49%,5117,130.0,2110,125.0,0.81%,0.76%,True
08/08/22,WSM,08-19-2022,148.68,147.74,154.76,159.95,1754878,178.94%,1354,155.0,1283,80.0,5.29%,4.09%,False
08/08/22,XBI,08-12-2022,93.36,91.92,93.89,95.1,19246571,90.36%,2221,100.0,4012,93.0,1.72%,0.57%,False
08/08/22,XEL,08-19-2022,74.16,73.67,73.9,74.76,2044755,1.95%,1103,70.0,450,70.0,0.14%,-0.35%,False
08/08/22,XME,08-12-2022,49.04,48.71,48.89,49.72,2820946,35.11%,207,47.5,4008,46.0,0.87%,-0.31%,False
08/08/22,XOM,08-12-2022,88.61,88.22,88.95,89.6,14467146,-17.66%,2462,99.0,1815,93.0,0.57%,0.38%,False
08/08/22,XOM,08-12-2022,88.61,88.22,88.95,89.6,14467146,-17.66%,2462,99.0,1815,93.0,0.57%,0.38%,False
08/08/22,ZM,08-12-2022,114.77,113.82,114.74,119.82,2832491,43.69%,775,129.0,680,110.0,0.78%,-0.03%,True
08/08/22,AA,08-12-2022,49.65,48.47,48.65,50.4,4228844,20.06%,818,50.0,481,30.0,-1.76%,-2.01%,True
08/08/22,AAP,08-19-2022,194.64,193.88,194.29,197,492583,28.23%,188,210.0,563,100.0,0.45%,-0.18%,True
08/08/22,AAPL,08-12-2022,166.37,164.2,164.87,167.81,60362338,11.83%,27347,170.0,22350,160.0,-0.29%,-0.90%,True
08/08/22,ACM,08-19-2022,71.57,70.3228,70.98,72.59,966073,139.89%,1017,65.0,158,62.5,-0.82%,-0.82%,False
08/08/22,ADBE,08-12-2022,435,432.48,434.34,440.3,2202396,21.18%,463,465.0,625,370.0,0.21%,-0.15%,True
08/08/22,ADI,08-12-2022,176.22,173.78,175.86,177.75,2308710,-0.74%,376,155.0,198,167.5,-0.78%,-0.20%,False
08/08/22,ADP,08-12-2022,249.62,247.27,248.61,251.38,1093957,5.45%,152,245.0,252,222.5,0.57%,-0.40%,False
08/08/22,ADSK,08-12-2022,222.96,219.25,220.69,224.92,811035,-28.08%,367,265.0,640,145.0,-0.46%,-1.02%,True
08/08/22,ALGN,08-12-2022,295.19,291.4001,293.06,302.97,642268,-14.57%,48,295.0,65,250.0,-0.28%,-0.72%,True
08/08/22,AMAT,08-12-2022,109.2,105.94,107.83,110.36,6041462,50.71%,635,97.0,737,95.0,-1.63%,-1.25%,False
08/08/22,AMD,08-12-2022,100.06,97.99,100.07,101.8,92692592,28.11%,12188,105.0,3906,90.0,-2.19%,0.01%,False
08/08/22,AMGN,08-12-2022,245,244.31,247.29,247.74,2784544,50.63%,1854,270.0,5331,235.0,0.42%,0.93%,True
08/08/22,AMZN,08-12-2022,142.05,138.29,139.41,144.23,52303475,-13.70%,12422,150.0,10031,130.0,-0.99%,-1.86%,True
08/08/22,APPS,08-12-2022,23.45,22.88,23.7,24.56,3524750,67.44%,700,25.0,4384,21.0,3.58%,1.07%,True
08/08/22,ARKK,08-12-2022,50.47,50.27,50.8,52.425,23057688,42.55%,3399,54.0,5904,50.5,1.46%,0.65%,True
08/08/22,ASML,08-12-2022,578,564.99,572.75,582.56,700830,4.34%,1719,810.0,118,570.0,-0.79%,-0.91%,True
08/08/22,AVGO,08-12-2022,549.35,538.74,545.53,552.99,1372821,15.46%,668,740.0,186,485.0,-1.07%,-0.70%,True
08/08/22,AXON,08-19-2022,117.89,115.78,116.23,120.61,316010,60.75%,613,105.0,712,45.0,-0.05%,-1.41%,True
08/08/22,BA,08-12-2022,166.41,164.7115,165.89,171.09,11311693,156.00%,4024,185.0,1674,140.0,0.52%,-0.31%,True
08/08/22,BABA,08-12-2022,91.47,90.34,90.84,92.75,16194085,-39.29%,12495,125.0,4478,80.0,-1.86%,-0.69%,False
08/08/22,BIDU,08-12-2022,138,136.1,136.4,139.15,1296906,-12.89%,884,150.0,2994,140.0,-1.03%,-1.16%,False
08/08/22,BIIB,08-12-2022,216.79,215.38,217.56,222.22,932205,39.67%,206,220.0,117,165.0,-0.29%,0.36%,True
08/08/22,BILI,08-12-2022,24.61,24.39,24.65,25.62,3144616,35.06%,460,28.0,661,23.0,0.28%,0.16%,True
08/08/22,BKNG,08-12-2022,1922.88,1922.88,1955.8,1989.49,349736,-2.90%,195,2200.0,60,1750.0,1.60%,1.71%,True
08/08/22,CHTR,08-12-2022,469.01,462.68,464.05,478.89,891292,-34.96%,325,620.0,1116,280.0,0.23%,-1.06%,True
08/08/22,COIN,08-12-2022,97.84,93.8096,98.02,103.55,18878661,4.24%,2936,100.0,7701,50.0,5.34%,0.18%,False
08/08/22,COST,08-12-2022,543.84,538.6737,541.9,547.5,1345699,-2.08%,896,550.0,444,525.0,0.23%,-0.36%,True
08/08/22,CPRT,08-19-2022,130.19,128.01,129.03,130.6999,809529,24.01%,827,130.0,507,115.0,-0.15%,-0.89%,True
08/08/22,CRWD,08-12-2022,193.69,188.91,189.52,197.48,3188842,36.99%,527,200.0,467,170.0,-0.86%,-2.15%,True
08/08/22,CSCO,08-12-2022,45.49,44.855,45.02,45.52,15466668,18.97%,3260,44.0,5079,44.5,0.02%,-1.03%,False
08/08/22,CUBE,08-19-2022,48.04,47.53,48.1,48.79,1527579,55.00%,2591,50.0,163,50.0,1.18%,0.12%,False
08/08/22,DOCS,08-19-2022,37.12,36.61,40.61,43.1,4451894,91.67%,6341,45.0,4678,40.0,8.84%,9.40%,True
08/08/22,DOCU,08-12-2022,72.69,72.6,74.32,77.24,3528069,92.37%,1777,75.0,1440,45.5,2.74%,2.24%,True
08/08/22,DWAC,08-12-2022,30.72,30.5,30.8,31.9299,559176,11.71%,589,34.0,1355,10.0,-2.84%,0.26%,True
08/08/22,EBAY,08-12-2022,47.63,47.2,47.61,49,4786588,-9.44%,1374,50.0,550,45.0,0.70%,-0.04%,True
08/08/22,FAST,08-19-2022,53.34,53.175,53.67,53.91,2096182,-3.94%,1273,55.0,1061,47.5,1.36%,0.62%,True
08/08/22,FTCH,08-19-2022,9.1,9.1,9.72,10.03,10971963,84.79%,13141,10.0,4187,7.0,8.72%,6.81%,False
08/08/22,GDX,08-12-2022,26.77,26.7223,27,27.3,23607934,17.89%,3440,27.0,1590,26.0,2.74%,0.86%,True
08/08/22,GILD,08-12-2022,61,60.81,61.6,61.71,5857705,6.49%,1556,85.0,1496,50.0,0.83%,0.98%,True
08/08/22,GLOB,08-19-2022,234.28,231.77,233.42,238.39,403596,47.34%,260,220.0,402,155.0,0.15%,-0.37%,False
08/08/22,GOOG,08-12-2022,119.12,117.83,118.14,120.86,17061112,7.29%,7964,120.0,3517,115.0,-0.07%,-0.82%,True
08/08/22,GOOGL,08-12-2022,118.39,116.88,117.3,120.15,19169479,-3.67%,7245,120.0,2770,85.0,-0.14%,-0.92%,False
08/08/22,GOOS,08-12-2022,20.28,20.24,21.45,21.76,1765291,213.47%,156,20.0,190,20.0,6.98%,5.77%,False
08/08/22,HD,08-12-2022,311.86,310.44,311.97,315.8,2505344,14.59%,969,310.0,1373,240.0,0.74%,0.04%,False
08/08/22,INCY,08-19-2022,72.16,71.65,74,74.11,1364590,28.75%,361,90.0,565,75.0,2.55%,2.55%,False
08/08/22,INMD,08-19-2022,37.9,37.61,38.27,38.7,1738376,-7.95%,6951,40.0,3101,25.0,0.98%,0.98%,True
08/08/22,INTC,08-12-2022,35.36,35.2,35.38,35.96,41601566,-13.26%,6041,36.5,6596,36.0,-0.03%,0.06%,False
08/08/22,ISRG,08-12-2022,241,238.64,239.13,245.36,2216193,72.29%,675,300.0,1181,225.0,-0.50%,-0.78%,True
08/08/22,JD,08-12-2022,61.59,58.46,58.84,61.74,8208345,89.36%,1086,62.0,1316,62.0,-4.96%,-4.47%,False
08/08/22,LCID,08-12-2022,18.18,18.075,18.72,19.71,21703023,30.37%,3776,20.0,4448,16.0,3.71%,2.97%,True
08/08/22,LOW,08-12-2022,200,199.78,201.84,204.31,3042755,7.69%,515,190.0,2089,155.0,1.39%,0.92%,False
08/08/22,LSPD,08-19-2022,21.99,21.795,23.38,23.78,1876360,81.68%,2018,25.0,578,25.0,7.20%,6.32%,False
08/08/22,LULU,08-12-2022,317.04,315.13,316.24,326.5,844676,19.79%,271,340.0,217,225.0,-0.49%,-0.25%,True
08/08/22,MDLZ,08-12-2022,64.02,63.71,63.94,64.59,4928688,22.81%,1738,65.0,364,63.0,0.27%,-0.12%,True
08/08/22,MELI,08-12-2022,1042.08,1018,1024.25,1074.5,618763,-10.80%,385,1600.0,173,695.0,-0.05%,-1.71%,False
08/08/22,MP,08-19-2022,39.21,38.81,39.29,40.12,2651476,41.03%,3946,35.0,4558,30.0,2.10%,0.20%,False
08/08/22,MRK,08-12-2022,87.3,86.92,88.49,88.7798,8151171,6.00%,590,90.0,694,87.0,1.24%,1.36%,True
08/08/22,MRNA,08-12-2022,185.2,180.09,182.94,190.28,4078574,-14.54%,3202,200.0,681,180.0,-2.09%,-1.22%,True
08/08/22,MRO,08-12-2022,21.77,21.4025,21.83,22.09,17555346,67.17%,1923,25.0,1424,17.5,0.28%,0.28%,True
08/08/22,MRVL,08-12-2022,55.61,53.3,55.59,56.5,13962369,125.49%,2160,63.0,484,56.0,-2.37%,-0.04%,False
08/08/22,MSFT,08-12-2022,284.05,279.32,280.32,285.92,18757818,5.89%,6295,285.0,3403,250.0,-0.92%,-1.31%,True
08/08/22,MU,08-12-2022,61.99,60.98,61.45,62.62,11464767,27.40%,3713,70.0,3385,63.0,-1.62%,-0.87%,False
08/08/22,NFLX,08-12-2022,227.49,226.41,233.49,241.9599,10997409,107.38%,3287,250.0,2362,175.0,2.96%,2.64%,True
08/08/22,NTES,08-12-2022,88.98,88.53,89.46,90.57,1206733,-3.88%,192,85.0,812,80.0,0.54%,0.54%,False
08/08/22,NVDA,08-12-2022,175.02,172.42,177.93,182.39,98378318,224.23%,7347,200.0,4392,160.0,-6.30%,1.66%,True
08/08/22,OKTA,08-12-2022,105.67,105.03,107.22,110.94,1680971,31.35%,521,140.0,233,91.0,2.63%,1.47%,False
08/08/22,ORLY,08-19-2022,714.31,708.2,712.27,717.38,322696,-13.23%,439,790.0,801,630.0,0.46%,-0.29%,True
08/08/22,OXY,08-12-2022,58.34,58.34,60.04,60.6,18199195,1.43%,3951,61.0,11778,50.0,1.75%,2.91%,True
08/08/22,PDD,08-12-2022,49.2,47.23,47.67,49.95,7773931,15.23%,2315,57.0,2077,52.0,-5.13%,-3.11%,False
08/08/22,PTON,08-12-2022,11.93,11.66,11.91,12.67,14643120,77.04%,5945,13.0,5191,10.5,1.02%,-0.17%,True
08/08/22,PYPL,08-12-2022,96.35,95.32,96.26,98.94,19557490,23.57%,3033,100.0,2918,90.0,0.99%,-0.09%,False
08/08/22,QCOM,08-12-2022,149.81,146.55,147.81,151.19,5564307,-17.10%,1674,155.0,1464,145.0,-1.60%,-1.34%,True
08/08/22,RBLX,08-12-2022,48.13,48.02,48.9,50.9,21346300,75.70%,4136,60.0,2388,40.0,-0.69%,1.60%,True
08/08/22,REGN,08-19-2022,619.78,618.8707,630.63,633.93,715657,36.04%,660,760.0,1131,340.0,2.77%,1.75%,True
08/08/22,ROST,08-12-2022,85.02,84.61,85.31,87,1836193,33.96%,110,85.0,890,65.0,1.28%,0.34%,False
08/08/22,RRC,08-12-2022,30.45,29.88,30.1,31.01,2443295,4.33%,180,33.0,931,14.0,-2.08%,-1.15%,True
08/08/22,SBUX,08-12-2022,86.15,85.42,85.72,86.86,4885102,-5.63%,2667,88.0,687,84.0,-0.01%,-0.50%,True
08/08/22,SE,08-12-2022,88.08,84.8,85.54,89.63,5828353,70.24%,2058,78.0,4088,76.0,-2.32%,-2.88%,False
08/08/22,SGEN,08-19-2022,176.56,176.56,178.33,181,1059924,98.77%,2414,200.0,4100,150.0,1.43%,1.00%,True
08/08/22,SHOP,08-12-2022,41.41,39.27,39.77,42.45,29845891,27.91%,3876,45.0,2536,30.0,-2.55%,-3.96%,True
08/08/22,SIRI,08-12-2022,6.58,6.56,6.65,6.72,12699874,3.19%,43,6.5,546,6.0,1.06%,1.06%,False
08/08/22,SMH,08-12-2022,240.55,236.06,239.41,242.65,4215259,89.11%,1362,255.0,1497,220.0,-1.73%,-0.47%,True
08/08/22,SNAP,08-12-2022,10.25,10.17,10.41,10.8,49276029,7.92%,10578,11.0,7558,8.0,2.26%,1.56%,False
08/08/22,SNPS,08-19-2022,375,369.761,372.07,378.465,725186,15.52%,1006,360.0,302,280.0,-0.59%,-0.78%,False
08/08/22,SPLK,08-12-2022,113.5,112.3,113.08,115.98,773062,-6.35%,580,140.0,236,60.0,0.45%,-0.37%,False
08/08/22,SQ,08-12-2022,88.05,84.87,85.5,91.8,19001542,30.71%,1950,100.0,2615,48.0,-2.54%,-2.90%,False
08/08/22,SWKS,08-12-2022,112.18,110.75,112.13,113.38,2725599,63.98%,152,100.0,239,60.0,-0.47%,-0.04%,True
08/08/22,TDG,08-19-2022,642.99,639.39,641.18,647.71,241553,61.25%,208,630.0,1311,600.0,0.45%,-0.28%,False
08/08/22,TEAM,08-12-2022,265.41,264.97,279.35,289.12,5405414,177.36%,475,270.0,330,250.0,4.01%,5.25%,False
08/08/22,TGT,08-12-2022,166.66,166.43,166.97,170.99,2808348,8.87%,1548,175.0,1529,162.5,0.51%,0.19%,True
08/08/22,TJX,08-12-2022,63.4,63.37,63.68,64.27,4694243,48.98%,383,65.0,163,59.0,1.37%,0.44%,True
08/08/22,TSLA,08-12-2022,885,867.2562,871.27,915.6,33121758,56.12%,12853,1000.0,7354,800.0,0.78%,-1.55%,False
08/08/22,TSM,08-12-2022,88.98,86.91,87.94,89.1,12122334,23.73%,2723,90.0,3561,45.0,-2.04%,-1.17%,True
08/08/22,TSN,08-19-2022,82.31,78.68,80.1,83.08,9675017,863.30%,1411,87.5,2010,55.0,-8.40%,-2.68%,True
08/08/22,TWTR,08-12-2022,42.94,42.87,42.94,43.545,8130857,6.37%,12245,45.0,8673,39.0,0.99%,0.00%,True
08/08/22,U,08-12-2022,47.72,47.72,49.76,52.69,11163189,69.88%,8522,50.0,2871,34.0,3.54%,4.27%,True
08/08/22,URI,08-12-2022,324.19,320.01,322.14,329.23,409799,-36.19%,814,420.0,552,185.0,-0.40%,-0.63%,True
08/08/22,VRTX,08-12-2022,288.65,288.65,293.95,296.95,1687084,32.99%,296,305.0,119,250.0,2.06%,1.84%,True
08/08/22,WDAY,08-12-2022,161.63,161.35,166.8,169.22,3078443,83.16%,359,215.0,614,85.0,3.15%,3.20%,False
08/08/22,WMT,08-12-2022,126.65,126.61,127.61,128.2125,6061110,-29.49%,5117,130.0,2110,125.0,0.81%,0.76%,True
08/08/22,WSM,08-19-2022,148.68,147.74,154.76,159.95,1754878,178.94%,1354,155.0,1283,80.0,5.29%,4.09%,False
08/08/22,XBI,08-12-2022,93.36,91.92,93.89,95.1,19246571,90.36%,2221,100.0,4012,93.0,1.72%,0.57%,False
08/08/22,XEL,08-19-2022,74.16,73.67,73.9,74.76,2044755,1.95%,1103,70.0,450,70.0,0.14%,-0.35%,False
08/08/22,XME,08-12-2022,49.04,48.71,48.89,49.72,2820946,35.11%,207,47.5,4008,46.0,0.87%,-0.31%,False
08/08/22,XOM,08-12-2022,88.61,88.22,88.95,89.6,14467146,-17.66%,2462,99.0,1815,93.0,0.57%,0.38%,False
08/08/22,XOM,08-12-2022,88.61,88.22,88.95,89.6,14467146,-17.66%,2462,99.0,1815,93.0,0.57%,0.38%,False
08/08/22,ZM,08-12-2022,114.77,113.82,114.74,119.82,2832491,43.69%,775,129.0,680,110.0,0.78%,-0.03%,True
08/08/22,AA,08-12-2022,49.65,48.47,48.65,50.4,4228844,20.06%,818,50.0,481,30.0,-1.76%,-2.01%,True
08/08/22,AAP,08-19-2022,194.64,193.88,194.29,197,492583,28.23%,188,210.0,563,100.0,0.45%,-0.18%,True
08/08/22,AAPL,08-12-2022,166.37,164.2,164.87,167.81,60362338,11.83%,27347,170.0,22350,160.0,-0.29%,-0.90%,True
08/08/22,ACM,08-19-2022,71.57,70.3228,70.98,72.59,966073,139.89%,1017,65.0,158,62.5,-0.82%,-0.82%,False
08/08/22,ADBE,08-12-2022,435,432.48,434.34,440.3,2202396,21.18%,463,465.0,625,370.0,0.21%,-0.15%,True
08/08/22,ADI,08-12-2022,176.22,173.78,175.86,177.75,2308710,-0.74%,376,155.0,198,167.5,-0.78%,-0.20%,False
08/08/22,ADP,08-12-2022,249.62,247.27,248.61,251.38,1093957,5.45%,152,245.0,252,222.5,0.57%,-0.40%,False
08/08/22,ADSK,08-12-2022,222.96,219.25,220.69,224.92,811035,-28.08%,367,265.0,640,145.0,-0.46%,-1.02%,True
08/08/22,ALGN,08-12-2022,295.19,291.4001,293.06,302.97,642268,-14.57%,48,295.0,65,250.0,-0.28%,-0.72%,True
08/08/22,AMAT,08-12-2022,109.2,105.94,107.83,110.36,6041462,50.71%,635,97.0,737,95.0,-1.63%,-1.25%,False
08/08/22,AMD,08-12-2022,100.06,97.99,100.07,101.8,92692592,28.11%,12188,105.0,3906,90.0,-2.19%,0.01%,False
08/08/22,AMGN,08-12-2022,245,244.31,247.29,247.74,2784544,50.63%,1854,270.0,5331,235.0,0.42%,0.93%,True
08/08/22,AMZN,08-12-2022,142.05,138.29,139.41,144.23,52303475,-13.70%,12422,150.0,10031,130.0,-0.99%,-1.86%,True
08/08/22,APPS,08-12-2022,23.45,22.88,23.7,24.56,3524750,67.44%,700,25.0,4384,21.0,3.58%,1.07%,True
08/08/22,ARKK,08-12-2022,50.47,50.27,50.8,52.425,23057688,42.55%,3399,54.0,5904,50.5,1.46%,0.65%,True
08/08/22,ASML,08-12-2022,578,564.99,572.75,582.56,700830,4.34%,1719,810.0,118,570.0,-0.79%,-0.91%,True
08/08/22,AVGO,08-12-2022,549.35,538.74,545.53,552.99,1372821,15.46%,668,740.0,186,485.0,-1.07%,-0.70%,True
08/08/22,AXON,08-19-2022,117.89,115.78,116.23,120.61,316010,60.75%,613,105.0,712,45.0,-0.05%,-1.41%,True
08/08/22,BA,08-12-2022,166.41,164.7115,165.89,171.09,11311693,156.00%,4024,185.0,1674,140.0,0.52%,-0.31%,True
08/08/22,BABA,08-12-2022,91.47,90.34,90.84,92.75,16194085,-39.29%,12495,125.0,4478,80.0,-1.86%,-0.69%,False
08/08/22,BIDU,08-12-2022,138,136.1,136.4,139.15,1296906,-12.89%,884,150.0,2994,140.0,-1.03%,-1.16%,False
08/08/22,BIIB,08-12-2022,216.79,215.38,217.56,222.22,932205,39.67%,206,220.0,117,165.0,-0.29%,0.36%,True
08/08/22,BILI,08-12-2022,24.61,24.39,24.65,25.62,3144616,35.06%,460,28.0,661,23.0,0.28%,0.16%,True
08/08/22,BKNG,08-12-2022,1922.88,1922.88,1955.8,1989.49,349736,-2.90%,195,2200.0,60,1750.0,1.60%,1.71%,True
08/08/22,CHTR,08-12-2022,469.01,462.68,464.05,478.89,891292,-34.96%,325,620.0,1116,280.0,0.23%,-1.06%,True
08/08/22,COIN,08-12-2022,97.84,93.8096,98.02,103.55,18878661,4.24%,2936,100.0,7701,50.0,5.34%,0.18%,False
08/08/22,COST,08-12-2022,543.84,538.6737,541.9,547.5,1345699,-2.08%,896,550.0,444,525.0,0.23%,-0.36%,True
08/08/22,CPRT,08-19-2022,130.19,128.01,129.03,130.6999,809529,24.01%,827,130.0,507,115.0,-0.15%,-0.89%,True
08/08/22,CRWD,08-12-2022,193.69,188.91,189.52,197.48,3188842,36.99%,527,200.0,467,170.0,-0.86%,-2.15%,True
08/08/22,CSCO,08-12-2022,45.49,44.855,45.02,45.52,15466668,18.97%,3260,44.0,5079,44.5,0.02%,-1.03%,False
08/08/22,CUBE,08-19-2022,48.04,47.53,48.1,48.79,1527579,55.00%,2591,50.0,163,50.0,1.18%,0.12%,False
08/08/22,DOCS,08-19-2022,37.12,36.61,40.61,43.1,4451894,91.67%,6341,45.0,4678,40.0,8.84%,9.40%,True
08/08/22,DOCU,08-12-2022,72.69,72.6,74.32,77.24,3528069,92.37%,1777,75.0,1440,45.5,2.74%,2.24%,True
08/08/22,DWAC,08-12-2022,30.72,30.5,30.8,31.9299,559176,11.71%,589,34.0,1355,10.0,-2.84%,0.26%,True
